movieId,title,genres,cluster
80,"White Balloon, The (Badkonake sefid) (1995)","['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'D', 'r', 'a', 'm', 'a']",3
81,Things to Do in Denver When You're Dead (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
82,Antonia's Line (Antonia) (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",3
83,Once Upon a Time... When We Were Colored (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
85,Angels and Insects (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
86,White Squall (1996),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'D', 'r', 'a', 'm', 'a']",3
87,Dunston Checks In (1996),"['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y']",1
88,Black Sheep (1996),"['C', 'o', 'm', 'e', 'd', 'y']",7
89,Nick of Time (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
92,Mary Reilly (1996),"['D', 'r', 'a', 'm', 'a', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
93,Vampire in Brooklyn (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
94,Beautiful Girls (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",5
95,Broken Arrow (1996),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
96,In the Bleak Midwinter (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",7
97,"Hate (Haine, La) (1995)","['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",2
98,Shopping (1994),"['A', 'c', 't', 'i', 'o', 'n', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
100,City Hall (1996),"['D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
101,Bottle Rocket (1996),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
102,Mr. Wrong (1996),"['C', 'o', 'm', 'e', 'd', 'y']",7
104,Happy Gilmore (1996),"['C', 'o', 'm', 'e', 'd', 'y']",7
105,"Bridges of Madison County, The (1995)","['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
107,Muppet Treasure Island (1996),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'M', 'u', 's', 'i', 'c', 'a', 'l']",2
110,Braveheart (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'D', 'r', 'a', 'm', 'a', '|', 'W', 'a', 'r']",7
111,Taxi Driver (1976),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",0
112,Rumble in the Bronx (Hont faan kui) (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e']",0
114,Margaret's Museum (1995),"['D', 'r', 'a', 'm', 'a']",8
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","['C', 'o', 'm', 'e', 'd', 'y']",8
116,Anne Frank Remembered (1995),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y']",8
117,"Young Poisoner's Handbook, The (1995)","['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",3
118,If Lucy Fell (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
121,"Boys of St. Vincent, The (1992)","['D', 'r', 'a', 'm', 'a']",3
122,Boomerang (1992),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
123,Chungking Express (Chung Hing sam lam) (1994),"['D', 'r', 'a', 'm', 'a', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
125,Flirting With Disaster (1996),"['C', 'o', 'm', 'e', 'd', 'y']",3
126,"NeverEnding Story III, The (1994)","['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",6
128,Jupiter's Wife (1994),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y']",6
129,Pie in the Sky (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",6
132,Jade (1995),"['T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",1
133,Nueba Yol (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",1
135,Down Periscope (1996),"['C', 'o', 'm', 'e', 'd', 'y']",1
136,From the Journals of Jean Seberg (1995),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y']",1
138,"Neon Bible, The (1995)","['D', 'r', 'a', 'm', 'a']",1
140,Up Close and Personal (1996),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",9
141,"Birdcage, The (1996)","['C', 'o', 'm', 'e', 'd', 'y']",9
144,"Brothers McMullen, The (1995)","['C', 'o', 'm', 'e', 'd', 'y']",9
145,Bad Boys (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",9
146,"Amazing Panda Adventure, The (1995)","['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",1
147,"Basketball Diaries, The (1995)","['D', 'r', 'a', 'm', 'a']",4
148,"Awfully Big Adventure, An (1995)","['D', 'r', 'a', 'm', 'a']",4
149,Amateur (1994),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
150,Apollo 13 (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'I', 'M', 'A', 'X']",3
151,Rob Roy (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e', '|', 'W', 'a', 'r']",9
152,"Addiction, The (1995)","['D', 'r', 'a', 'm', 'a', '|', 'H', 'o', 'r', 'r', 'o', 'r']",7
153,Batman Forever (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e']",2
154,Beauty of the Day (Belle de jour) (1967),"['D', 'r', 'a', 'm', 'a']",7
155,Beyond Rangoon (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'W', 'a', 'r']",2
156,Blue in the Face (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",2
157,Canadian Bacon (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'W', 'a', 'r']",8
158,Casper (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",8
159,Clockers (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'M', 'y', 's', 't', 'e', 'r', 'y']",3
160,Congo (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'S', 'c', 'i', '-', 'F', 'i']",3
161,Crimson Tide (1995),"['D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r', '|', 'W', 'a', 'r']",3
162,Crumb (1994),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y']",3
163,Desperado (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e', '|', 'W', 'e', 's', 't', 'e', 'r', 'n']",3
164,Devil in a Blue Dress (1995),"['C', 'r', 'i', 'm', 'e', '|', 'F', 'i', 'l', 'm', '-', 'N', 'o', 'i', 'r', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",3
165,Die Hard: With a Vengeance (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",3
166,"Doom Generation, The (1995)","['C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",2
168,First Knight (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
169,Free Willy 2: The Adventure Home (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'D', 'r', 'a', 'm', 'a']",7
170,Hackers (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
171,Jeffrey (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",2
172,Johnny Mnemonic (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'S', 'c', 'i', '-', 'F', 'i', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
173,Judge Dredd (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'S', 'c', 'i', '-', 'F', 'i']",7
174,Jury Duty (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
175,Kids (1995),"['D', 'r', 'a', 'm', 'a']",7
176,Living in Oblivion (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
177,Lord of Illusions (1995),"['H', 'o', 'r', 'r', 'o', 'r']",7
178,Love & Human Remains (1993),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",2
179,Mad Love (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
180,Mallrats (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
181,Mighty Morphin Power Rangers: The Movie (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",2
182,Moonlight and Valentino (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
183,Mute Witness (1994),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
184,Nadja (1994),"['D', 'r', 'a', 'm', 'a']",7
185,"Net, The (1995)","['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
186,Nine Months (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
187,Party Girl (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
188,"Prophecy, The (1995)","['F', 'a', 'n', 't', 'a', 's', 'y', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'M', 'y', 's', 't', 'e', 'r', 'y']",2
189,Reckless (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",2
190,Safe (1995),"['T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
191,"Scarlet Letter, The (1995)","['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
193,Showgirls (1995),"['D', 'r', 'a', 'm', 'a']",2
194,Smoke (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",2
196,Species (1995),"['H', 'o', 'r', 'r', 'o', 'r', '|', 'S', 'c', 'i', '-', 'F', 'i']",2
197,"Stars Fell on Henrietta, The (1995)","['D', 'r', 'a', 'm', 'a']",2
198,Strange Days (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'S', 'c', 'i', '-', 'F', 'i', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","['D', 'r', 'a', 'm', 'a', '|', 'M', 'u', 's', 'i', 'c', 'a', 'l', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
201,Three Wishes (1995),"['D', 'r', 'a', 'm', 'a', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",5
202,Total Eclipse (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",0
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","['C', 'o', 'm', 'e', 'd', 'y']",0
204,Under Siege 2: Dark Territory (1995),"['A', 'c', 't', 'i', 'o', 'n']",8
205,Unstrung Heroes (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",8
207,"Walk in the Clouds, A (1995)","['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",8
